ExperimentID;participantID;date;choix;angleoffset;target_number;number_of_try;time since the beginning;time_Beginning_reach;time_Touching_Target;time_back_starting;
00001;011;63734302687,3218;0;-0,08726647;0;69;257,3691;254,8927;255,7818;257,1006;
00001;011;63734302690,5786;1;-0,2268928;1;70;260,6259;257,6388;258,5847;260,2875;
00001;011;63734302693,2379;1;-0,1745329;1;71;263,2848;260,8896;261,78;262,9923;
00001;011;63734302695,9564;1;-0,1745329;1;72;266,0034;263,5727;264,4961;265,6769;
00001;011;63734302698,7995;0;-0,03490658;0;73;268,847;266,3182;267,1747;268,5482;
00001;011;63734302702,2599;0;0,1745329;0;74;272,3069;269,1819;270,18;272,0691;
00001;011;63734302704,9366;1;-0,1396263;1;75;274,9837;272,338;273,4453;274,7643;
00001;011;63734302707,9587;0;0;0;76;278,0055;275,3502;276,2834;277,73;
00001;011;63734302710,4903;0;-0,03490658;0;77;280,5372;278,3204;279,1317;280,2345;
00001;011;63734302713,3766;0;0,03490658;0;78;283,424;280,8728;281,7921;283,0718;
00001;011;63734302716,6218;0;0,08726647;0;79;286,6689;283,7098;284,7862;286,4434;
00001;011;63734302720,1869;1;-0,1745329;1;80;290,2337;287,1642;288,231;289,9174;
00001;011;63734302723,4809;1;-0,2268928;1;81;293,5281;290,5673;291,5321;293,2189;
00001;011;63734302725,8965;1;-0,06981317;1;82;295,9436;293,7798;294,5671;295,5752;
00001;011;63734302728,907;0;0,08726647;0;83;298,9542;296,234;297,1982;298,6309;
00001;011;63734302731,6397;0;-0,03490658;0;84;301,6871;299,2524;300,203;301,4096;
00001;011;63734302735,2731;0;0,1396263;0;85;305,3207;301,9308;302,9531;305,0067;
00001;011;63734302738,7926;1;-0,1745329;1;86;308,8396;305,7025;306,7189;308,5261;
00001;011;63734302741,8305;0;0,1047198;0;87;311,8781;309,1538;310,2262;311,5196;
00001;011;63734302745,6905;0;0,2268928;0;88;315,7377;312,1551;313,1104;315,4295;
00001;011;63734302749,932;0;0,1047198;0;89;319,979;316,8752;318,1199;319,4155;
00001;011;63734302753,2071;0;0,03490658;0;90;323,2549;320,357;321,3696;322,8808;
00001;011;63734302756,1003;0;0,1396263;0;91;326,1479;323,5403;324,5547;325,7943;
00001;011;63734302759,0556;0;-0,06981317;0;92;329,1025;326,5221;327,368;328,8219;
00001;011;63734302763,4926;1;-0,2268928;1;93;333,5395;330,6456;331,5673;333,2956;
00001;011;63734302767,3519;0;0,03490658;0;94;337,3997;334,0353;335,0603;336,3377;
00001;011;63734302770,7798;1;-0,08726647;1;95;340,8275;337,6509;338,4965;340,4749;
00001;011;63734302773,1742;0;0,06981317;0;96;343,2219;341,0576;341,9464;343,0111;
00001;011;63734302776,8092;1;-0,2268928;1;97;346,8569;344,2258;345,0966;346,5985;
00001;011;63734302779,7746;1;-0,1047198;1;98;349,8221;347,0138;347,9039;349,5297;
00001;011;63734302782,9813;0;0,08726647;0;99;353,0283;350,9175;351,7187;352,7196;
