ExperimentID;participantID;date;choix;angleoffset;target_number;number_of_try;time since the beginning;time_Beginning_reach;time_Touching_Target;time_back_starting;
00002;021;63735096993,652;0;0,06981317;0;1;40,77525;19,33801;38,16466;40,21284;
00002;021;63735096996,8705;1;-0,1047198;2;2;43,99331;41,2328;42,41272;43,65677;
00002;021;63735096999,5629;1;-0,06981317;2;3;46,68575;44,33964;45,31399;46,39838;
00002;021;63735097002,2415;1;-0,05235988;2;4;49,36419;47,05155;47,98169;49,02322;
00002;021;63735097005,5144;0;-0,1047198;0;5;52,63713;49,71698;50,57651;51,99173;
00002;021;63735097008,9382;0;0,1570796;0;6;56,06089;53,13153;54,29612;55,71974;
00002;021;63735097012,7437;0;-0,1047198;0;7;59,86698;56,42854;57,54327;59,22442;
00002;021;63735097015,8805;0;0,03490658;0;8;63,0034;60,33581;61,49498;62,69615;
00002;021;63735097019,1544;0;0,2268928;0;9;66,27779;63,42883;64,61132;65,87227;
00002;021;63735097022,1632;0;0,08726647;0;10;69,28601;66,71095;67,66687;68,77964;
00002;021;63735097025,2537;0;0,1570796;0;11;72,37698;69,66842;70,70993;72,05553;
00002;021;63735097028,3912;0;0,2268928;0;12;75,51432;72,75608;73,82587;75,15658;
00002;021;63735097031,2126;0;0;0;13;78,33533;75,81226;76,80737;78,04547;
00002;021;63735097034,1447;0;-0,05235988;0;14;81,26784;78,66473;79,56753;80,59617;
00002;021;63735097037,2374;0;0,03490658;0;15;84,3606;81,79275;82,86542;84,09628;
00002;021;63735097041,6975;1;0;2;16;88,82056;84,80087;86,10119;87,82829;
00002;021;63735097044,9758;1;-0,03490658;3;17;92,09833;88,84383;90,05035;91,51945;
00002;021;63735097048,2245;0;0,1047198;0;18;95,34715;92,53677;93,65173;94,98351;
00002;021;63735097052,0597;1;-0,2268928;2;19;99,18239;95,71999;96,82263;98,862;
00002;021;63735097055,6213;0;0,05235988;0;20;102,7447;99,50873;100,7389;102,4349;
00002;021;63735097058,5831;1;0,05235988;0;21;105,7058;103,1108;104,2729;105,4135;
00002;021;63735097062,1766;1;-0,03490658;2;22;109,2994;106,1078;107,2184;108,3174;
00002;021;63735097065,757;0;0,06981317;0;23;112,8799;109,6267;110,9129;112,1082;
00002;021;63735097069,638;1;-0,1570796;2;24;116,7607;113,509;114,9334;116,413;
00002;021;63735097072,5662;1;-0,05235988;1;25;119,6888;117,1311;118,1262;119,3497;
00002;021;63735097075,4365;0;0,08726647;0;26;122,5598;120,0376;121,1131;122,2029;
00002;021;63735097078,6644;0;0,2268928;0;27;125,7875;122,9667;124,1889;125,4853;
00002;021;63735097081,7139;0;-0,2268928;0;28;128,8374;126,1768;127,1265;128,4351;
00002;021;63735097087,5542;1;0,05235988;2;29;134,6775;129,4676;132,809;134,2683;
00002;021;63735097090,716;0;0;0;30;137,8389;135,1979;136,292;137,3983;
00002;021;63735097093,7552;1;0;3;31;140,8777;138,2841;139,3149;140,4924;
00002;021;63735097096,7941;0;0,1047198;0;32;143,9172;141,2417;142,3188;143,5946;
00002;021;63735097100,5672;0;0,2268928;0;33;147,6907;144,376;145,4712;147,342;
00002;021;63735097104,4324;1;-0,2268928;0;34;151,5557;148,1196;149,2123;151,2263;
00002;021;63735097107,3824;1;-0,1570796;0;35;154,5058;151,9818;153,0132;154,1553;
00002;021;63735097110,2645;1;-0,1570796;1;36;157,3878;154,9315;155,8914;157,1132;
00002;021;63735097113,119;0;0,03490658;0;37;160,2417;157,8354;158,7822;159,9007;
00002;021;63735097116,34;0;0,1570796;0;38;163,4625;160,6608;161,866;163,1597;
00002;021;63735097119,3446;1;-0,08726647;0;39;166,4675;163,9676;164,9986;166,1653;
00002;021;63735097122,5624;0;0,08726647;0;40;169,6858;166,9814;168,1258;169,4219;
00002;021;63735097127,2951;1;-0,06981317;3;41;174,4181;170,1366;171,1553;172,3485;
00002;021;63735097130,3058;0;0,06981317;0;42;177,4285;174,9139;176,0164;177,1694;
00002;021;63735097133,1791;0;-0,08726647;0;43;180,3024;177,8739;178,9543;180,0488;
00002;021;63735097135,8996;1;-0,08726647;1;44;183,0222;180,7106;181,7391;182,8253;
00002;021;63735097138,7201;1;-0,2268928;1;45;185,8427;183,3591;184,4641;185,6453;
00002;021;63735097141,3366;0;0,03490658;0;46;188,4597;186,2061;187,242;188,218;
00002;021;63735097143,8408;0;0,05235988;0;47;190,964;188,7303;189,6771;190,6717;
00002;021;63735097146,2118;1;-0,08726647;3;48;193,3345;191,2625;192,2315;193,0895;
00002;021;63735097148,6158;1;-0,06981317;1;49;195,7391;193,5889;194,5916;195,582;
00002;021;63735097151,0436;0;0,1047198;0;50;198,1665;196,0763;197,0128;197,8872;
