ExperimentID;participantID;date;choix;angleoffset;target_number;number_of_try;time since the beginning;time_Beginning_reach;time_Touching_Target;time_back_starting;
00002;014;63734842714,6013;0;0,1047198;0;1;19,35517;12,87726;16,06485;18,7893;
00002;014;63734842719,2368;0;0,2268928;0;2;23,99097;19,39171;21,12032;23,54269;
00002;014;63734842725,6828;1;-0,06981317;1;3;30,43695;24,02026;25,61722;30,03222;
00002;014;63734842730,4169;0;0,1745329;0;4;35,17049;30,47124;31,83954;34,77697;
00002;014;63734842735,0169;0;0,06981317;0;5;39,77073;35,20026;36,65388;39,19162;
00002;014;63734842739,9125;0;0,1047198;0;6;44,66587;39,80048;41,21246;43,95564;
00002;014;63734842744,5918;1;-0,03490658;1;7;49,34539;44,70083;46,05235;48,76637;
00002;014;63734842748,4844;1;-0,1047198;1;8;53,23785;49,37539;50,71854;52,86853;
00002;014;63734842752,3667;1;-0,1396263;1;9;57,12037;53,26671;54,61456;56,77114;
00002;014;63734842756,5003;0;0;0;10;61,25364;57,15152;58,53891;60,71201;
00002;014;63734842760,4633;0;0,1745329;0;11;65,21715;61,28397;62,6879;64,88215;
00002;014;63734842764,5045;0;0,06981317;0;12;69,25885;65,44781;66,71455;68,90734;
00002;014;63734842768,4716;0;0,2268928;0;13;73,22581;69,28922;70,75181;72,88728;
00002;014;63734842772,3933;1;-0,1047198;1;14;77,14734;73,25482;74,60482;76,861;
00002;014;63734842776,4601;0;0,2268928;0;15;81,21399;77,17669;78,68218;80,83994;
00002;014;63734842781,0828;1;0,03490658;1;16;85,83659;81,24364;82,75476;85,1376;
00002;014;63734842784,9379;1;-0,1745329;1;17;89,69122;85,86588;87,14081;89,32114;
00002;014;63734842788,6228;0;0,2268928;0;18;93,37685;89,72653;91,30907;93,05913;
00002;014;63734842792,8739;1;0,03490658;1;19;97,62755;93,40853;94,82018;97,24928;
00002;014;63734842796,4878;1;-0,1047198;1;20;101,2419;97,65945;98,93522;100,8313;
00002;014;63734842800,3921;1;-0,1745329;1;21;105,1463;101,4763;102,7667;104,7834;
00002;014;63734842804,5832;1;0;1;22;109,3375;105,1991;106,5811;108,8507;
00002;014;63734842808,6411;1;0,03490658;1;23;113,395;109,3742;110,8793;113,0149;
00002;014;63734842812,7718;0;0,2268928;0;24;117,5254;113,4267;114,96;117,1774;
00002;014;63734842817,8309;0;0,1047198;0;25;122,5851;117,5553;119,1208;122,1739;
00002;014;63734842822,3892;1;0;1;26;127,1427;122,6157;124,0311;126,7261;
00002;014;63734842826,1896;0;0,2268928;0;27;130,9433;127,1842;128,5175;130,6224;
00002;014;63734842830,3188;1;-0,06981317;1;28;135,073;131,1269;132,4039;134,6441;
00002;014;63734842834,3997;1;0;1;29;139,1539;135,1033;136,5332;138,678;
00002;014;63734842840,0247;0;0,1047198;0;30;144,7788;139,1842;140,5981;144,1873;
00002;014;63734842845,3561;0;0,06981317;0;31;150,1103;144,8108;146,3967;149,378;
00002;014;63734842850,0115;1;-0,08726647;1;32;154,7651;150,1404;151,4966;154,3308;
00002;014;63734842854,3118;1;-0,03490658;1;33;159,0651;154,8032;156,0819;158,4812;
00002;014;63734842858,4135;0;0,08726647;0;34;163,1675;159,094;160,5527;162,6835;
00002;014;63734842862,7228;1;-0,08726647;1;35;167,4763;163,1971;164,6811;166,6146;
00002;014;63734842867,0415;1;-0,2268928;1;36;171,7957;167,6924;169,2329;171,3204;
00002;014;63734842872,5117;0;0,2268928;0;37;177,2659;171,8322;173,8013;176,7494;
00002;014;63734842877,5667;1;-0,2268928;1;38;182,3209;177,2966;178,7178;181,898;
00002;014;63734842882,9617;0;0,06981317;0;39;187,7156;182,3512;183,7919;187,1882;
00002;014;63734842887,4162;0;0,2268928;0;40;192,1697;187,7559;189,5014;191,7429;
00002;014;63734842891,7855;0;0,08726647;0;41;196,5396;192,1993;193,8231;196,0581;
00002;014;63734842895,8404;1;-0,1396263;1;42;200,5939;196,5744;198,1227;200,2504;
00002;014;63734842900,8564;1;0,08726647;1;43;205,6106;200,6293;202,0713;205,0073;
00002;014;63734842904,7897;1;-0,1396263;1;44;209,5437;205,776;207,2242;209,0127;
