ExperimentID;participantID;date;choix;angleoffset;target_number;number_of_try;time since the beginning;time_Beginning_reach;time_Touching_Target;time_back_starting;
00002;017;63734208668,8317;0;0,2268928;0;69;392,0338;389,373;390,3857;391,7878;
00002;017;63734208682,7267;0;0,2268928;0;70;405,9283;392,0514;393,0901;394,882;
00002;017;63734208686,9148;1;-0,03490658;1;71;410,1165;406,4658;407,6708;409,7833;
00002;017;63734208689,9535;0;0,2268928;0;72;413,1555;410,136;411,2316;412,9417;
00002;017;63734208693,0685;1;-0,1745329;1;73;416,2705;413,1731;414,088;415,8608;
00002;017;63734208695,7093;0;0,08726647;0;74;418,9108;416,2885;417,2459;418,5195;
00002;017;63734208699,258;1;-0,2268928;1;75;422,4592;418,93;420,0308;421,7578;
00002;017;63734208702,5412;0;0,1396263;0;76;425,7431;422,4773;423,3862;424,9977;
00002;017;63734208706,3388;1;-0,1745329;1;77;429,5402;426,4925;427,6189;429,1076;
00002;017;63734208709,6224;1;-0,08726647;1;78;432,8242;429,558;430,6295;432,4179;
00002;017;63734208713,1866;0;0;0;79;436,3882;432,8426;433,9761;435,6282;
00002;017;63734208717,9438;1;-0,03490658;1;80;441,1456;436,4063;437,4225;440,4639;
00002;017;63734208722,9196;1;-0,1396263;1;81;446,1213;441,1641;442,1767;445,8063;
00002;017;63734208726,1553;0;0;0;82;449,357;446,1402;447,0932;449,0752;
00002;017;63734208729,5737;0;0,1745329;0;83;452,7752;449,3764;450,399;452,5719;
00002;017;63734208733,3809;1;-0,06981317;1;84;456,5825;452,7989;453,8224;455,8711;
00002;017;63734208736,4411;0;0,1396263;0;85;459,643;456,6002;457,5946;459,108;
00002;017;63734208739,3903;1;-0,1396263;1;86;462,592;459,6616;460,8054;462,2914;
00002;017;63734208743,4563;0;0,08726647;0;87;466,6577;462,6104;463,5603;466,1157;
00002;017;63734208746,2256;0;0,1396263;0;88;469,4272;466,6752;467,6828;469,1534;
00002;017;63734208749,9452;1;-0,06981317;1;89;473,1465;469,4459;470,4094;472,8625;
00002;017;63734208753,0851;1;0,06981317;1;90;476,2863;473,1639;474,1996;475,8828;
00002;017;63734208756,3667;0;0,06981317;0;91;479,5685;476,3102;477,4037;479,1888;
00002;017;63734208759,3841;1;-0,08726647;1;92;482,5852;479,5881;480,7097;482,2946;
00002;017;63734208776,6972;1;0,1745329;1;93;499,8989;482,6057;483,7138;485,3318;
00002;017;63734208786,0362;1;-0,1396263;1;94;509,2376;499,9218;501,153;508,4421;
00002;017;63734208791,9708;0;-0,03490658;0;95;515,1723;509,255;510,6697;514,7919;
00002;017;63734208795,0813;1;0,03490658;1;96;518,2831;515,1896;516,3449;517,8088;
00002;017;63734208798,2212;1;0,03490658;1;97;521,4233;518,3007;519,254;521,1143;
00002;017;63734208801,8614;1;-0,03490658;1;98;525,0635;521,4469;522,5626;524,3037;
00002;017;63734208805,0903;0;0,08726647;0;99;528,2919;525,0886;526,1309;527,8364;
00002;017;63734208808,7116;1;-0,08726647;1;100;531,9133;528,3103;529,2932;531,3056;
00002;017;63734208811,9526;0;0,1047198;0;101;535,1541;531,931;532,8306;534,6271;
00002;017;63734208815,4211;1;0,06981317;1;102;538,6227;535,1719;536,262;538,1711;
00002;017;63734208818,7335;1;-0,06981317;1;103;541,9353;538,6406;539,582;541,65;
00002;017;63734208823,9011;1;-0,1745329;1;104;547,1028;541,9543;542,9934;546,7874;
00002;017;63734208827,5292;0;0,03490658;0;105;550,731;547,1282;548,2101;550,3981;
00002;017;63734208830,4009;1;-0,1047198;1;106;553,6022;550,7486;551,748;553,3851;
00002;017;63734208833,4842;1;-0,1047198;1;107;556,6859;553,619;554,6227;556,3784;
00002;017;63734208840,6757;0;-0,1047198;0;108;563,8777;556,7032;557,6974;563,5862;
