ExperimentID;participantID;date;choix;angleoffset;target_number;number_of_try;time since the beginning;time_Beginning_reach;time_Touching_Target;time_back_starting;
00002;020;63734323276,44;0;-0,03490658;0;1;21,88376;16,81446;18,88506;21,45766;
00002;020;63734323280,5817;1;-0,1396263;1;2;26,02426;21,915;23,31715;25,62671;
00002;020;63734323286,3664;1;-0,06981317;1;3;31,80887;26,05227;27,25235;28,93098;
00002;020;63734323289,8071;1;-0,2268928;1;4;35,24986;31,84683;33,3384;34,82503;
00002;020;63734323293,0806;0;0,1396263;0;5;38,52376;35,29255;36,76712;38,15143;
00002;020;63734323296,6876;0;0,06981317;0;6;42,13013;38,55418;39,97064;41,77707;
00002;020;63734323299,9635;0;0,06981317;0;7;45,40595;42,15867;43,40922;44,9663;
00002;020;63734323302,9437;1;-0,1745329;1;8;48,38606;45,43777;46,68599;48,00441;
00002;020;63734323306,518;0;0;0;9;51,96101;48,4155;49,58739;51,60355;
00002;020;63734323310,003;0;0,1047198;0;10;55,44531;51,99125;53,36594;55,12995;
00002;020;63734323313,5207;0;0,08726647;0;11;58,963;55,47368;56,77452;58,58844;
00002;020;63734323316,6294;1;-0,1396263;1;12;62,07259;58,99208;60,27969;61,69823;
00002;020;63734323321,1336;0;-0,1047198;0;13;66,57656;62,11222;63,43008;65,79136;
00002;020;63734323324,5447;0;0,2268928;0;14;69,98747;66,60639;68,00394;69,65739;
00002;020;63734323328,2193;1;-0,06981317;1;15;73,66187;70,01604;71,33028;73,34886;
00002;020;63734323331,8679;0;0,03490658;0;16;77,311;73,69646;75,0183;76,96788;
00002;020;63734323335,0228;1;-0,03490658;1;17;80,46529;77,33891;78,66215;80,06239;
00002;020;63734323338,8332;1;-0,2268928;1;18;84,27606;80,49452;81,98103;84,27475;
00002;020;63734323342,5668;0;0,08726647;0;19;88,01006;84,30789;85,65672;87,62881;
00002;020;63734323346,3247;1;-0,06981317;1;20;91,76756;88,03852;89,30822;91,4265;
00002;020;63734323349,7874;1;-0,08726647;1;21;95,23003;91,7959;93,1067;94,87138;
00002;020;63734323353,7858;1;-0,1396263;1;22;99,22906;95,25964;96,44672;98,78766;
00002;020;63734323356,7469;0;0,1745329;0;23;102,1893;99,28331;100,4908;101,8184;
00002;020;63734323359,9749;0;0,1396263;0;24;105,4177;102,2189;103,4063;105,0642;
00002;020;63734323362,9949;0;0,1745329;0;25;108,4377;105,4482;106,6439;108,0631;
00002;020;63734323366,0733;1;-0,2268928;1;26;111,5162;108,4661;109,6713;111,1612;
00002;020;63734323369,3239;0;0,03490658;0;27;114,7665;111,5494;112,744;114,4517;
00002;020;63734323372,5577;1;-0,03490658;1;28;118,0003;114,7952;115,9067;117,5893;
00002;020;63734323375,7023;0;0,1047198;0;29;121,1454;118,0294;119,2483;120,686;
00002;020;63734323378,7498;1;-0,08726647;1;30;124,1925;121,1736;122,4156;123,8296;
00002;020;63734323381,9669;0;-0,1047198;0;31;127,4094;124,2226;125,4322;127,0186;
00002;020;63734323385,6317;0;0;0;32;131,074;127,4397;128,8888;130,3803;
00002;020;63734323388,7243;1;-0,1745329;1;33;134,1676;131,1028;132,463;133,7449;
00002;020;63734323391,9983;0;0,1047198;0;34;137,4407;134,196;135,4956;136,8429;
00002;020;63734323395,8749;0;0;0;35;141,3178;137,4704;138,7318;140,6809;
00002;020;63734323399,131;1;-0,1047198;1;36;144,5735;141,3462;142,5987;144,1693;
00002;020;63734323402,1748;0;0,2268928;0;37;147,6179;144,6017;145,9039;147,2057;
00002;020;63734323405,147;0;0,1745329;0;38;150,5896;147,649;148,7786;150,1858;
00002;020;63734323408,1726;1;0;1;39;153,6158;150,6209;151,7374;153,1772;
00002;020;63734323411,107;0;0,2268928;0;40;156,5494;153,652;154,8879;156,1727;
00002;020;63734323413,9482;0;0,1396263;0;41;159,3907;156,5797;157,6706;159,0184;
00002;020;63734323416,6597;0;0,1047198;0;42;162,1024;159,4298;160,4394;161,7573;
