1,20,63734056548.4975,0,0.08726647,0,1,22.16814,4.757556,20.08428,21.8224
1,20,63734056552.4855,0,0.1047198,0,2,26.15617,22.19413,23.52057,25.82706
1,20,63734056556.3412,0,0.1047198,0,3,30.01155,26.19128,27.68337,29.55234
1,20,63734056563.2635,1,-0.1745329,1,4,36.93417,30.0512,31.81364,33.60313
1,20,63734056567.0619,1,-0.2268928,1,5,40.73281,36.96721,38.55124,40.26751
1,20,63734056572.7333,1,0,1,6,46.40365,40.76024,42.44244,45.9542
1,20,63734056577.8958,0,0.03490658,0,7,51.56649,46.4323,47.89766,51.12194
1,20,63734056581.4809,0,0.03490658,0,8,55.15149,51.59395,53.25764,54.78908
1,20,63734056585.5489,1,-0.06981317,1,9,59.21972,55.1874,56.37386,58.81482
1,20,63734056590.2049,1,-0.1047198,1,10,63.87548,59.26842,60.73475,63.3315
1,20,63734056597.9785,1,-0.03490658,1,11,71.64947,63.90266,65.36124,70.92167
1,20,63734056600.9852,0,0.08726647,0,12,74.65583,71.68555,72.97022,74.39157
1,20,63734056605.2165,1,-0.1396263,1,13,78.88763,74.68416,75.93243,78.62536
1,20,63734056610.1322,0,0.1047198,0,14,83.80324,78.92377,81.52314,83.51183
1,20,63734056613.4164,1,-0.1396263,1,15,87.08696,83.8414,85.10291,86.63503
1,20,63734056618.8782,1,-0.03490658,1,16,92.54935,87.12186,88.39126,91.78355
1,20,63734056623.1455,0,0.05235988,0,17,96.81633,92.58379,94.56194,96.35181
1,20,63734056628.0363,1,-0.1047198,1,18,101.7068,96.86098,98.17557,101.2802
1,20,63734056633.1426,1,-0.2268928,1,19,106.8135,101.7315,103.3468,106.3731
1,20,63734056636.5806,0,0.03490658,0,20,110.2515,106.8594,108.2971,109.9414
1,20,63734056640.1225,0,0.2268928,0,21,113.7935,110.2803,111.7931,113.5298
1,20,63734056645.501,0,0.08726647,0,22,119.172,113.8207,115.207,117.645
1,20,63734056650.4022,0,0,0,23,124.0728,119.1998,120.7834,123.6012
1,20,63734056655.2903,0,0.06981317,0,24,128.9607,124.0999,126.0195,128.5916
1,20,63734056658.3741,0,0.05235988,0,25,132.0449,128.9862,130.4478,131.4905
1,20,63734056662.408,1,-0.03490658,1,26,136.0789,132.0718,133.3451,135.5726
1,20,63734056668.1396,1,-0.1047198,1,27,141.8098,136.1154,137.4823,141.0479
1,20,63734056671.1929,0,0.2268928,0,28,144.8632,141.8388,143.4918,144.6535
1,20,63734056674.301,0,0.06981317,0,29,147.9717,144.8907,146.0612,147.6366
1,20,63734056681.5028,0,-0.06981317,0,30,155.1738,148.0003,151.7008,154.3308
1,20,63734056685.7726,1,0,1,31,159.4432,155.2007,156.4948,158.6325
1,20,63734056689.2129,0,0.03490658,0,32,162.8835,159.481,160.722,162.5373
1,20,63734056696.6875,0,0,0,33,170.358,162.9103,164.2828,168.8318
1,20,63734056701.9362,1,0.06981317,1,34,175.6065,170.4123,171.4124,175.2422
1,20,63734056707.1636,1,0,1,35,180.8344,175.6348,176.6959,179.7831
1,20,63734056709.7932,0,0.06981317,0,36,183.4636,180.8675,182.2291,183.1957
1,20,63734056715.2727,1,-0.08726647,1,37,188.9438,183.4924,184.6758,188.636
1,20,63734056720.7777,1,-0.2268928,1,38,194.4487,188.9724,190.2895,193.6967
1,20,63734056723.6609,0,0.05235988,0,39,197.3312,194.4753,195.7659,196.9942
1,20,63734056726.3543,1,-0.1396263,1,40,200.0255,197.3652,198.486,199.7538
1,20,63734056731.3218,0,-0.08726647,0,41,204.9927,200.0538,201.1884,204.0361
1,20,63734056734.1483,1,-0.2268928,1,42,207.8187,205.0183,206.1989,207.4737
1,20,63734056738.633,1,-0.08726647,1,43,212.3032,207.8461,209.0676,210.9162
1,20,63734056742.0938,0,-0.06981317,0,44,215.7645,212.8811,213.7495,215.2308
1,20,63734056744.8392,1,-0.1745329,1,45,218.5098,215.7933,216.784,218.1799
1,20,63734056760.3526,1,-0.03490658,1,46,234.023,218.5374,219.8544,229.9182
1,20,63734056766.3225,0,0,0,47,239.9937,234.0489,235.7672,239.4238
1,20,63734056770.9701,1,-0.1047198,1,48,244.6413,240.0202,241.3406,244.2851
1,20,63734056774.4036,1,-0.1396263,1,49,248.0747,244.6685,246.1568,247.8017
1,20,63734056778.3908,0,0.08726647,0,50,252.0612,248.1128,249.4248,251.7437
1,20,63734056783.1803,1,-0.1745329,1,51,256.8511,252.0874,253.8152,256.3194
1,20,63734056788.7571,0,0,0,52,262.4281,256.8771,258.1886,262.0391
1,20,63734056793.8496,1,-0.06981317,1,53,267.5203,262.4633,263.9145,267.1118
1,20,63734056798.9691,0,0.05235988,0,54,272.6395,267.5556,268.8436,272.1566
1,20,63734056803.2133,0,0.2268928,0,55,276.8843,272.6682,274.2909,276.5583
1,20,63734056806.0143,1,-0.08726647,1,56,279.6849,276.9132,278.2884,279.3953
1,20,63734056811.668,0,0,0,57,285.3383,279.7127,281.1514,284.7234
1,20,63734056815.0274,1,-0.1745329,1,58,288.6984,285.3639,287.0664,288.4773
1,20,63734056818.066,0,0.2268928,0,59,291.7363,288.727,290.1817,291.4233
1,20,63734056829.1235,0,0.1047198,0,60,302.7941,291.7635,293.3036,302.3828
1,20,63734056833.9267,1,-0.1396263,1,61,307.5975,302.8234,304.4785,307.2649
1,20,63734056837.4788,1,0,1,62,311.1496,307.6317,308.8307,310.8647
1,20,63734056841.8902,0,0,0,63,315.5611,311.1769,312.5329,315.21
1,20,63734056845.0407,1,-0.06981317,1,64,318.7114,315.5878,316.8524,318.3766
