Experience 1 passage 1 08/11/2019 16:55 Sujet : Flavien Lebrun
0,3232498;1,769769;-0,8081996;0
0,65;1,7402;-0,85;0
PosRx;PosRy;PosRz;targetNumber;condition;aim_number;PosVx;PosVy;PosVz
-0,1032377;0,7288733;0,9280911;7;3;1;64,06027
-0,2348605;0,7304909;0,5518666;6;3;2;76,60066
-0,06147695;0,7291499;0,810761;3;3;3;89,67472
-0,2263501;0,730971;0,5500826;6;3;4;98,44266
-0,1180797;0,7299234;0,6070628;2;3;5;114,4819
-0,2526063;0,7295892;0,7042983;5;3;6;135,4763
-0,1187371;0,7294468;0,6038281;2;3;7;143,663
-0,2089979;0,7295968;0,8256652;4;3;8;159,3725
-0,2410365;0,7303213;0,5524092;6;3;9;166,4543
-0,1169422;0,7302213;0,6013863;2;3;10;172,6826
-0,142218;0,7292829;0,6826597;1;3;11;179,9984
-0,2269991;0,730705;0,5493822;6;3;12;186,2693
-0,2411758;0,7306246;0,5434929;6;3;13;195,2117
-0,1023269;0,7278033;0,9412428;7;3;14;202,5653
-0,2243474;0,7298977;0,8283985;4;3;15;211,2846
-0,136812;0,7300442;0,6865521;1;3;16;221,2523
-0,1131253;0,7298556;0,598043;2;3;17;228,3183
-0,2176811;0,7298551;0,8307286;4;3;18;239,5827
-0,1360062;0,7296667;0,6829159;1;3;19;248,874
-0,1087514;0,7290596;0,7586293;0;3;20;253,846
-0,1355632;0,7288291;0,6842209;1;3;21;260,2444
-0,2285018;0,7301441;0,5425302;6;3;22;266,3747
-0,1224954;0,7296484;0,7437902;0;3;23;271,9745
-0,2779391;0,7302005;0,6877443;5;3;24;278,3136
-0,2076578;0,7298368;0,8219541;4;3;25;285,2108
-0,1448102;0,7300441;0,6791728;1;3;26;295,0848
-0,12877;0,7305815;0,5914068;2;3;27;300,9694
-0,1229586;0,7284988;0,7519015;0;3;28;309,583
-0,1211623;0,7286612;0,601538;2;3;29;315,8474
-0,138034;0,7284515;0,6826458;1;3;30;322,4282
-0,06228147;0,7287115;0,8001487;3;3;31;329,7554
-0,05742801;0,7282892;0,8010468;3;3;32;335,7711
-0,1408822;0,7296164;0,681724;1;3;33;342,7341
-0,2120451;0,7300398;0,8249497;4;3;34;349,5587
-0,1382723;0,7292625;0,6846284;1;3;35;356,8639
-0,1220276;0,7284146;0,9208379;7;3;36;364,6618
-0,2038394;0,7296718;0,8263313;4;3;37;370,8337
-0,1260666;0,7287573;0,6108177;2;3;38;378,423
-0,1195011;0,7296298;0,6016905;2;3;39;382,8338
-0,2379407;0,7304056;0,5644338;6;3;40;388,7085
-0,1385223;0,7298833;0,676869;1;3;41;394,2329
-0,127052;0,7290523;0,5942178;2;3;42;400,8571
-0,1197223;0,7285457;0,7495692;0;3;43;407,7869
-0,2339366;0,7307418;0,5488538;6;3;44;415,3367
-0,2183785;0,7295811;0,8171661;4;3;45;422,0942
-0,2223842;0,7290494;0,8154625;4;3;46;429,6902
-0,2447912;0,7303569;0,5573575;6;3;47;435,1634
-0,2329441;0,7304917;0,5789435;6;3;48;444,3555
-0,2437472;0,7298979;0,5622647;6;3;49;450,4326
-0,2437956;0,7308015;0,5613181;6;3;50;455,3916
-0,129809;0,7300481;0,6092429;2;3;51;460,6305
-0,2198371;0,7296926;0,8248634;4;3;52;466,897
-0,1447554;0,7295908;0,6876286;1;3;53;471,8219
-0,1125799;0,7293133;0,7631857;0;3;54;477,7751
-0,213628;0,729598;0,8408978;4;3;55;483,9291
-0,1133807;0,7282674;0,9407198;7;3;56;489,9388
-0,04170682;0,7283144;0,8197888;3;3;57;496,641
-0,05396021;0,7285085;0,8095642;3;3;58;501,946
-0,1195926;0,7294567;0,7595698;0;3;59;506,7893
-0,2536474;0,7304257;0,5325;6;3;60;512,9484
-0,05461036;0,728474;0,8099143;3;3;61;518,2832
-0,1170529;0,7295017;0,7612111;0;3;62;522,8896
-0,06207552;0,7287668;0,8198613;3;3;63;530,1055
-0,1213412;0,7287601;0,9267345;7;3;64;537,701
-0,247174;0,7308112;0,5462333;6;3;65;542,8626
-0,2227818;0,7301362;0,8446923;4;3;66;547,8984
-0,2787372;0,7295927;0,7117738;5;3;67;554,1869
-0,2682561;0,7304199;0,7072883;5;3;68;558,2147
-0,2208519;0,7298464;0,8427792;4;3;69;562,6104
-0,2143475;0,7297169;0,8287969;4;3;70;566,7426
-0,04517459;0,7285875;0,8228534;3;3;71;571,0085
